# KD11-B microword field table.
# LISTCOL is the 0-based column of the bit as printed in the listing (0 = leftmost).
# SCHBIT is the bit number used by the schematics and EK-KD11B-MM-001.
# The listing prints SCHBIT 39 leftmost and SCHBIT 0 rightmost: SCHBIT = 39 - LISTCOL.
# ACTIVE is the signal polarity from its name: L = asserted low, H = asserted high.
# PROM_E / PROM_F are the DEC part numbers of the PROM holding that bit; CHANGED marks
# the two slices that differ between board revision E (1973) and F (1976).
LISTFIELD	BITINFIELD	LISTCOL	SCHBIT	SIGNAL	ACTIVE	PROM_E	PROM_F	CHANGED
NXT	0	0	39	MPC-7-L	L	23A04A2	23A04A2	
NXT	1	1	38	MPC-6-L	L	23A04A2	23A04A2	
NXT	2	2	37	MPC-5-L	L	23A04A2	23A04A2	
NXT	3	3	36	MPC-4-L	L	23A04A2	23A04A2	
NXT	4	4	35	MPC-3-L	L	23A10A2	23A10A2	
NXT	5	5	34	MPC-2-L	L	23A10A2	23A10A2	
NXT	6	6	33	MPC-1-L	L	23A10A2	23A10A2	
NXT	7	7	32	MPC-0-L	L	23A10A2	23A10A2	
ALU	0	8	31	ALU-S3-L	L	23A11A2	23A11A2	
ALU	1	9	30	ALU-S2-L	L	23A11A2	23A11A2	
ALU	2	10	29	ALU-S1-L	L	23A11A2	23A11A2	
ALU	3	11	28	ALU-S0-L	L	23A11A2	23A11A2	
ALU	4	12	27	ALU-MODE-H	H	23A15A2	23A20A2	yes
CRI	0	13	26	CIN-H	H	23A15A2	23A20A2	yes
FSH	0	14	25	F-SHIFT-L	L	23A15A2	23A20A2	yes
AUX	0	15	24	AUX-CONTROL-L	L	23A15A2	23A20A2	yes
PSW	0	16	23	LOAD-PSW-L	L	23A16A2	23A16A2	
SP1	0	17	22	ROM-SPA-1-H	H	23A16A2	23A16A2	
SP3	0	18	21	ROM-SPA-3-H	H	23A16A2	23A16A2	
DIP	0	19	20	ENAB-IN-PAUSE-L	L	23A16A2	23A16A2	
SM0	0	20	19	SPA-MUX-0-H	H	23A13A2	23A13A2	
SP0	0	21	18	ROM-SPA-0-H	H	23A13A2	23A13A2	
SM1	0	22	17	SPA-MUX-1-H	H	23A13A2	23A13A2	
BBT	0	23	16	BBOT-H	H	23A13A2	23A13A2	
BAR	0	24	15	BA-CLOCK-L	L	23A17A2	23A17A2	
BTP	0	25	14	BTOP-H	H	23A17A2	23A17A2	
SPF	0	26	13	SP-WRITE-L	L	23A17A2	23A17A2	
SP2	0	27	12	ROM-SPA-2-H	H	23A17A2	23A17A2	
CKO	0	28	11	CKOFF-L	L	23A14A2	23A19A2	yes
ABT	0	29	10	ALLOW-BYTE-L	L	23A14A2	23A19A2	yes
TNS	0	30	9	DATO-L	L	23A14A2	23A19A2	yes
TNS	1	31	8	DATI-L	L	23A14A2	23A19A2	yes
ALG	0	32	7	RALEG-1-L	L	23A05A2	23A05A2	
ALG	1	33	6	RALEG-0-L	L	23A05A2	23A05A2	
BRG	0	34	5	BMODE-0-H	H	23A05A2	23A05A2	
BRG	1	35	4	BMODE-1-H	H	23A05A2	23A05A2	
BUT	0	36	3	BUT-1-L	L	23A18A2	23A18A2	
BUT	1	37	2	BUT-0-L	L	23A18A2	23A18A2	
BUT	2	38	1	BUT-2-L	L	23A18A2	23A18A2	
BUT	3	39	0	BUT-3-L	L	23A18A2	23A18A2	
