# Symbolic values for the KD11-B microword fields.
# Value names come from the M7261 schematics via ../pdp-1105-microcode.txt.
# VALUE is the field value AFTER unscrambling, in octal. PRINTED is the bit pattern as
# it appears in the listing, left to right - for BUT and BRG these differ, because the
# PROM bit order is not the field bit order. Decode from PRINTED, not from VALUE.
# COUNT is how many of the 214 microwords use it in the 1976 (rev F) listing.
FIELD	VALUE	PRINTED	NAME	COUNT	NOTE
BUT	00	0000	IR-CLK	4	printed order is BUT-1,BUT-0,BUT-2,BUT-3
BUT	10	0001	SSYNC	1	printed order is BUT-1,BUT-0,BUT-2,BUT-3
BUT	04	0010	ENOFLO	5	printed order is BUT-1,BUT-0,BUT-2,BUT-3
BUT	14	0011	SERVICE	3	printed order is BUT-1,BUT-0,BUT-2,BUT-3
BUT	01	0100	INTR	7	printed order is BUT-1,BUT-0,BUT-2,BUT-3
BUT	11	0101	DEST	2	printed order is BUT-1,BUT-0,BUT-2,BUT-3
BUT	05	0110	MOV	4	printed order is BUT-1,BUT-0,BUT-2,BUT-3
BUT	15	0111	CONST	1	printed order is BUT-1,BUT-0,BUT-2,BUT-3
BUT	02	1000	NON-MOD	1	printed order is BUT-1,BUT-0,BUT-2,BUT-3
BUT	12	1001	UNARY	3	printed order is BUT-1,BUT-0,BUT-2,BUT-3
BUT	06	1010	SWITCHES	5	printed order is BUT-1,BUT-0,BUT-2,BUT-3
BUT	16	1011	INIT	4	printed order is BUT-1,BUT-0,BUT-2,BUT-3
BUT	03	1100	BYTE	15	printed order is BUT-1,BUT-0,BUT-2,BUT-3
BUT	13	1101	JMP/JSR	17	printed order is BUT-1,BUT-0,BUT-2,BUT-3
BUT	07	1110	IR-DECODE	1	printed order is BUT-1,BUT-0,BUT-2,BUT-3
BUT	17	1111	NON	141	printed order is BUT-1,BUT-0,BUT-2,BUT-3
BRG	0	00	HOLD	97	printed order is BMODE-0,BMODE-1
BRG	2	01	SRIGHT	25	printed order is BMODE-0,BMODE-1
BRG	1	10	SLEFT	16	printed order is BMODE-0,BMODE-1
BRG	3	11	LOAD	76	printed order is BMODE-0,BMODE-1
TNS	0	00	(not named)	1	only in A145, the all-zero filler microword
TNS	1	01	DATO	7	
TNS	2	10	DATI	31	
TNS	3	11	NONE	175	
ALG	0	00	PSW	5	printed order is RALEG-1,RALEG-0
ALG	1	01	SPR	1	printed order is RALEG-1,RALEG-0
ALG	2	10	NULL	31	printed order is RALEG-1,RALEG-0
ALG	3	11	SP	177	printed order is RALEG-1,RALEG-0
SPAMUX	3	SM0=1 SM1=1	ROM	170	
SPAMUX	2	SM0=0 SM1=1	IRS	16	IRS/IRD ordering not confirmed by the data
SPAMUX	1	SM0=1 SM1=0	IRD	14	IRS/IRD ordering not confirmed by the data
SPAMUX	0	SM0=0 SM1=0	BA	14	
ALU	00	00000	AA	1	
ALU	01	00001	AL	105	
ALU	03	00011	AB	1	
ALU	05	00101	A*notB	1	
ALU	07	00111	ZERO	2	
ALU	11	01001	A_or_B	1	
ALU	13	01011	BL	48	
ALU	14	01100	A_plus_B	21	
ALU	15	01101	A_xor_B	0	
ALU	22	10010	A_minus_B_minus_1	9	
ALU	25	10101	not_B	0	
ALU	30	11000	ASL	1	
ALU	31	11001	MINUS1	0	
ALU	32	11010	ROL	0	
ALU	34	11100	ASR	16	
ALU	36	11110	A_minus_1	0	
ALU	37	11111	not_A	8	
SPF	1	1	READ	157	
SPF	0	0	WRITE	57	
ABT	1	1	NO	201	
ABT	0	0	YES	13	
FSH	1	1	NO	179	
FSH	0	0	SHIFT	35	
CKO	1	1	OFF	178	
CKO	0	0	ON	36	
BTP/BBT	-	BTP=1 BBT=1	BREG	182	B-leg source
BTP/BBT	-	BTP=0 BBT=1	SEX	6	B-leg source
BTP/BBT	-	BTP=0 BBT=0	+1	0	B-leg source
BTP/BBT	-	BTP=1 BBT=0	(not named)	26	observed but absent from the notes
