# KD11-B control store, October 1973 drawing set. Bits as printed; NXT is active low.
# NXTADDR is the decoded next microaddress (MPC complemented). ALUCODE/ALUOP decode
# the 5-bit ALU field against the operation table in EK-KD11B-MM-001. SPA is the
# 4-bit scratchpad address ROM-SPA-3..0, which the listing prints as four separate
# non-adjacent single-bit columns (SP3 SP2 SP1 SP0) and is assembled here.
# Symbolic columns decode the fields per kd11b-fieldvalues.tsv. BUT and BRG need the
# printed bits unscrambled first; see kd11b-README.md.
NAM	LOC	NXTADDR	ALUCODE	SPA	BUTNAME	ALUOP	BRGNAME	BLEG	TNSNAME	ALGNAME	SPAMUX	SPFNAME	ABTNAME	FSHNAME	CKONAME	NXT	ALU	CRI	FSH	AUX	PSW	SP1	SP3	DIP	SM0	SP0	SM1	BBT	BAR	BTP	SPF	SP2	CKO	ABT	TNS	ALG	BRG	BUT	WORD40
A145	145	377	00	0	DEST	AA	HOLD	BREG/+1	??	PSW	ROM	WRITE	YES	NO	ON	00000000	00000	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	00	00	00	0101	0000000000000010000010100100000000000101
B-1	015	147	30	0	NON	ASL	SRIGHT	BREG	NONE	SP	ROM	READ	NO	NO	OFF	10011000	11000	0	1	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	11	11	01	1111	1001100011000011100110111110111111011111
B-2	147	146	14	7	NON	A_plus_B	LOAD	BREG	NONE	SP	ROM	READ	NO	NO	OFF	10011001	01100	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	11	11	11	1111	1001100101100011110111111111111111111111
B-3	146	040	13	7	BYTE	BL	HOLD	BREG	NONE	SP	ROM	WRITE	NO	NO	OFF	11011111	01011	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	11	11	00	1100	1101111101011011110111111101111111001100
B2-2	305	040	01	0	BYTE	AL	HOLD	BREG	NONE	SP	ROM	READ	NO	NO	OFF	11011111	00001	0	1	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	11	11	00	1100	1101111100001011100110111110111111001100
B2-2A	333	040	01	0	BYTE	AL	HOLD	BREG	NONE	SP	ROM	READ	NO	NO	OFF	11011111	00001	0	1	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	11	11	00	1100	1101111100001011100110111110111111001100
B2-2B	335	040	01	0	BYTE	AL	HOLD	BREG	NONE	SP	ROM	READ	NO	NO	OFF	11011111	00001	0	1	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	11	11	00	1100	1101111100001011100110111110111111001100
B2-2C	343	040	01	0	BYTE	AL	HOLD	BREG	NONE	SP	ROM	READ	NO	NO	OFF	11011111	00001	0	1	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	11	11	00	1100	1101111100001011100110111110111111001100
B2-2D	013	040	01	0	BYTE	AL	HOLD	BREG	NONE	SP	ROM	READ	NO	NO	OFF	11011111	00001	0	1	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	11	11	00	1100	1101111100001011100110111110111111001100
BG-1	040	305	01	0	SSYNC	AL	HOLD	BREG	NONE	SP	ROM	READ	NO	NO	OFF	00111010	00001	0	1	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	11	11	00	0001	0011101000001011100110111110111111000001
